dataset,dataset_full_name,dataset_link,c_source,c_programme,c_modality,c_obs_type,c_protocol,c_platform,c_workflow,c_cn_type,c_raw_cn_scale,c_raw_locus_type,c_reference,c_cancer_type,c_cancer_type_full_name,n_sample_num,n_cell_num,n_spot_num,n_after_qc_ratio,c_usage_permission
acc_2019,"Adenoid Cystic Carcinoma Project (J Clin Invest 2019, Adenoid Cystic Carcinoma Research Foundation)",https://www.cbioportal.org/study/summary?id=acc_2019,cBioportal,ACCRF,bulkDNA,sample,WES/WGS,Illumina HiSeq,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,ACYC,Adenoid Cystic Carcinoma,1049,NA,NA,NA,Open Access
odg_msk_2017,"Anaplastic Oligodendroglioma and Anaplastic Oligoastrocytoma (MSK, Neuro Oncol 2017)",https://www.cbioportal.org/study/summary?id=odg_msk_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq 2500,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,Brain Cancer,Anaplastic Oligodendroglioma and Anaplastic Oligoastrocytoma,22,NA,NA,NA,Open Access
thyroid_gatci_2024,"Anaplastic Thyroid Cancers (GATCI, Cell Reports 2024)",https://www.cbioportal.org/study/summary?id=thyroid_gatci_2024,cBioportal,GATCI,bulkDNA,sample,WES/WGS,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg38,THCA,Anaplastic Thyroid Cancers,190,NA,NA,NA,Open Access
appendiceal_msk_2022,"Appendiceal Cancer (MSK, J Clin Oncol 2022)",https://www.cbioportal.org/study/summary?id=appendiceal_msk_2022,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,APAD,Appendiceal Cancer,273,NA,NA,NA,Open Access
asclc_msk_2024,"Atypical Small Cell Lung Cancer (MSK, Cancer Discov 2024)",https://www.cbioportal.org/study/summary?id=asclc_msk_2024,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing/WGS,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,NSCLC,Atypical Small Cell Lung Cancer,31,NA,NA,NA,Open Access
bll_target_gdc,"B-Lymphoblastic Leukemia/Lymphoma - Phase II (TARGET, GDC)",https://www.cbioportal.org/study/summary?id=bll_target_gdc,cBioportal,TARGET,bulkDNA,sample,NA,NA,ASCAT-GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg38,ALL,B-Lymphoblastic Leukemia/Lymphoma - Phase II,1004,NA,NA,NA,Open Access
bladder_columbia_msk_2018,"Bladder Cancer (Columbia University/MSK, Cell 2018)",https://www.cbioportal.org/study/summary?id=bladder_columbia_msk_2018,cBioportal,Cornell/Trento,bulkDNA,sample,WES,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,BLCA,Bladder Cancer,130,NA,NA,NA,Open Access
paired_bladder_2022,"Bladder Cancer (MSK, Cell Reports 2022)",https://www.cbioportal.org/study/summary?id=paired_bladder_2022,cBioportal,MSK,bulkDNA,sample,WES,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,BLCA,Bladder Cancer,1659,NA,NA,NA,Open Access
bladder_msk_2023,"Bladder Cancer (MSK, Clin Cancer Res 2023)",https://www.cbioportal.org/study/summary?id=bladder_msk_2023,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,BLCA,Bladder Cancer,526,NA,NA,NA,Open Access
blca_mskcc_solit_2014,"Bladder Cancer (MSK, Eur Urol 2014)",https://www.cbioportal.org/study/summary?id=blca_mskcc_solit_2014,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,BLCA,Bladder Cancer,109,NA,NA,NA,Open Access
blca_plasmacytoid_mskcc_2016,"Bladder Cancer (MSK, Nat Genet 2016)",https://www.cbioportal.org/study/summary?id=blca_plasmacytoid_mskcc_2016,cBioportal,MSK,bulkDNA,sample,WES,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,BLCA,Bladder Cancer,34,NA,NA,NA,Open Access
gbm_mayo_pdx_sarkaria_2019,"Brain Tumor PDXs (Mayo Clinic, Clin Cancer Res 2020)",https://www.cbioportal.org/study/summary?id=gbm_mayo_pdx_sarkaria_2019,cBioportal,Mayo Clinic,bulkDNA,sample,WES,NA,PatternCNV,Gene Log,log2 ratio,gene-level matrices,NA,Brain Cancer,Brain Tumor PDXs,106,NA,NA,NA,Open Access
brca_hta9_htan_2022,"Breast Cancer (HTAN, 2022)",https://www.cbioportal.org/study/summary?id=brca_hta9_htan_2022,cBioportal,HTAN,bulkDNA,sample,NA,NA,NA,Gene Log,log2 ratio,gene-level matrices,NA,BRCA,Breast Cancer,5,NA,NA,NA,Open Access
brca_metabric,"Breast Cancer (METABRIC, Nature 2012 & Nat Commun 2016)",https://www.cbioportal.org/study/summary?id=brca_metabric,cBioportal,METABRIC,bulkDNA,sample,NA,NA,DNAcopy,Gene Log,log2 ratio,gene-level matrices,NA,BRCA,Breast Cancer,2509,NA,NA,NA,Open Access
breast_msk_2018,"Breast Cancer (MSK, Cancer Cell 2018)",https://www.cbioportal.org/study/summary?id=breast_msk_2018,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,BRCA,Breast Cancer,1918,NA,NA,NA,Open Access
breast_alpelisib_2020,"Breast Cancer (MSK, Nature Cancer 2020)",https://www.cbioportal.org/study/summary?id=breast_alpelisib_2020,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,BRCA,Breast Cancer,141,NA,NA,NA,Open Access
brca_mskcc_2019,"Breast Cancer (MSK, NPJ Breast Cancer 2019)",https://www.cbioportal.org/study/summary?id=brca_mskcc_2019,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT341,Gene Log,log2 ratio,gene-level matrices,hg19,BRCA,Breast Cancer,70,NA,NA,NA,Open Access
cervix_msk_2023,"Cervical Cancer (MSK, Clin Cancer Res 2023)",https://www.cbioportal.org/study/summary?id=cervix_msk_2023,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,CESC,Cervical Cancer,177,NA,NA,NA,Open Access
chol_msk_2018,"Cholangiocarcinoma (MSK, Clin Cancer Res 2018)",https://www.cbioportal.org/study/summary?id=chol_msk_2018,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,CHOL,Cholangiocarcinoma,195,NA,NA,NA,Open Access
brain_cptac_gdc,"CNS/Brain Cancer (CPTAC, GDC)",https://www.cbioportal.org/study/summary?id=brain_cptac_gdc,cBioportal,CPTAC,bulkDNA,sample,NA,NA,ASCAT-GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg38,Brain Cancer,CNS/Brain Cancer,74,NA,NA,NA,Open Access
coad_cptac_2019,"Colon Cancer (CPTAC-2 Prospective, Cell 2019)",https://www.cbioportal.org/study/summary?id=coad_cptac_2019,cBioportal,CPTAC-2,bulkDNA,sample,NA,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,COAD,Colon Cancer,110,NA,NA,NA,Open Access
coad_silu_2022,"Colon Cancer (Sidra-LUMC AC-ICAM, Nat Med 2023)",https://www.cbioportal.org/study/summary?id=coad_silu_2022,cBioportal,Sidra-LUMC AC-ICAM,bulkDNA,sample,WES,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,COAD,Colon Cancer,348,NA,NA,NA,Open Access
bowel_colitis_msk_2022,"Colorectal Adenocarcinoma (MSK, Nat Commun 2022)",https://www.cbioportal.org/study/summary?id=bowel_colitis_msk_2022,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,CRC,Colorectal Adenocarcinoma,180,NA,NA,NA,Open Access
coadread_mskresistance_2022,"Colorectal Cancer (MSK, Cancer Discovery 2022)",https://www.cbioportal.org/study/summary?id=coadread_mskresistance_2022,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,CRC,Colorectal Cancer,22,NA,NA,NA,Open Access
crc_apc_impact_2020,"Colorectal Cancer (MSK, Gastroenterology 2020)",https://www.cbioportal.org/study/summary?id=crc_apc_impact_2020,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,CRC,Colorectal Cancer,471,NA,NA,NA,Open Access
crc_dd_2022,"Colorectal Cancer (MSK, JCO Precis Oncol 2022)",https://www.cbioportal.org/study/summary?id=crc_dd_2022,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,CRC,Colorectal Cancer,47,NA,NA,NA,Open Access
crc_eo_2020,"Colorectal Cancer (MSK, JNCI 2021)",https://www.cbioportal.org/study/summary?id=crc_eo_2020,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,CRC,Colorectal Cancer,1516,NA,NA,NA,Open Access
difg_glass,Diffuse Glioma (GLASS Consortium),https://www.cbioportal.org/study/summary?id=difg_glass,cBioportal,GLASS,bulkDNA,sample,WES/WGS,NA,GATK_CNV,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Diffuse Glioma,693,NA,NA,NA,Open Access
mbn_msk_2024,"Diffuse Large B-Cell Lymphoma (MSK, Haematologica 2024)",https://www.cbioportal.org/study/summary?id=mbn_msk_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,DLBC,Diffuse Large B-Cell Lymphoma,396,NA,NA,NA,Open Access
crc_nigerian_2020,"Disparities in metastatic colorectal cancer between Africans and Americans (MSK, 2020)",https://www.cbioportal.org/study/summary?id=crc_nigerian_2020,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT341,Gene Log,log2 ratio,gene-level matrices,hg19,CRC,Disparities In Metastatic Colorectal Cancer Between Africans And Americans,64,NA,NA,NA,Open Access
ucec_msk_2018,"Endometrial Cancer (MSK, 2018)",https://www.cbioportal.org/study/summary?id=ucec_msk_2018,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT341,Gene Log,log2 ratio,gene-level matrices,hg19,UCEC,Endometrial Cancer,197,NA,NA,NA,Open Access
ucec_ancestry_cds_msk_2023,"Endometrial Cancer (MSK, Cancer Discovery 2023)",https://www.cbioportal.org/study/summary?id=ucec_ancestry_cds_msk_2023,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,UCEC,Endometrial Cancer,1882,NA,NA,NA,Open Access
ucec_cptac_2020,"Endometrial Carcinoma (CPTAC, Cell 2020)",https://www.cbioportal.org/study/summary?id=ucec_cptac_2020,cBioportal,CPTAC,bulkDNA,sample,WGS,Illumina HiSeq4000,ASCAT-GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg38,UCEC,Endometrial Carcinoma,95,NA,NA,NA,Open Access
egc_trap_msk_2020,"Esophageal Cancer-TRAP Project (MSK, Lancet Oncol 2020)",https://www.cbioportal.org/study/summary?id=egc_trap_msk_2020,cBioportal,MSK,bulkDNA,sample,WES,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,ESCA,Esophageal Cancer-TRAP,68,NA,NA,NA,Open Access
egc_mskcc_2020,"Esophageal/Stomach Cancer (MSK, 2020)",https://www.cbioportal.org/study/summary?id=egc_mskcc_2020,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,EGC,Esophageal/Stomach Cancer,487,NA,NA,NA,Open Access
egc_msk_tp53_ccr_2022,"Esophagogastric Cancer (MSK, Clin Cancer Res 2022)",https://www.cbioportal.org/study/summary?id=egc_msk_tp53_ccr_2022,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,EGC,Esophagogastric Cancer,237,NA,NA,NA,Open Access
egc_trap_ccr_msk_2023,"Esophagogastric Cancer (MSK, Clin Cancer Res 2023)",https://www.cbioportal.org/study/summary?id=egc_trap_ccr_msk_2023,cBioportal,MSK,bulkDNA,sample,WES,Illumina HiSeq 4000,FACETS,Gene Log,log2 ratio,gene-level matrices,NA,EGC,Esophagogastric Cancer,64,NA,NA,NA,Open Access
egc_msk_2023,"Esophagogastric Cancer (MSK, J Natl Cancer Inst 2023)",https://www.cbioportal.org/study/summary?id=egc_msk_2023,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,EGC,Esophagogastric Cancer,902,NA,NA,NA,Open Access
es_dsrct_msk_2023,"Ewing Sarcoma (MSK, 2023)",https://www.cbioportal.org/study/summary?id=es_dsrct_msk_2023,cBioportal,MSK,bulkDNA,sample,NA,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Ewing Sarcoma,290,NA,NA,NA,Open Access
gbc_mskcc_2022,"Gallbladder Cancer (MSK, 2022)",https://www.cbioportal.org/study/summary?id=gbc_mskcc_2022,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,GBC,Gallbladder Cancer,244,NA,NA,NA,Open Access
gbc_msk_2018,"Gallbladder Cancer (MSK, Cancer 2018)",https://www.cbioportal.org/study/summary?id=gbc_msk_2018,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,GBC,Gallbladder Cancer,103,NA,NA,NA,Open Access
stad_oncosg_2018,"Gastric Cancer (OncoSG, 2018)",https://www.cbioportal.org/study/summary?id=stad_oncosg_2018,cBioportal,OncoSG,bulkDNA,sample,NA,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,NA,Gastric Cancer,Gastric Cancer,147,NA,NA,NA,Open Access
gist_msk_2022,"Gastrointestinal Stromal Tumor (MSK, NPJ Precis Oncol 2023)",https://www.cbioportal.org/study/summary?id=gist_msk_2022,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,GIST,Gastrointestinal Stromal Tumor,499,NA,NA,NA,Open Access
gist_msk_2023,"Gastrointestinal Stromal Tumors (MSK, Clin Cancer Res 2023)",https://www.cbioportal.org/study/summary?id=gist_msk_2023,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,GIST,Gastrointestinal Stromal Tumors,469,NA,NA,NA,Open Access
gct_msk_2016,"Germ Cell Tumors (MSK, J Clin Oncol 2016)",https://www.cbioportal.org/study/summary?id=gct_msk_2016,cBioportal,MSK,bulkDNA,sample,NA,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,GCT,Germ Cell Tumors,180,NA,NA,NA,Open Access
gbm_cptac_2021,"Glioblastoma (CPTAC, Cell 2021)",https://www.cbioportal.org/study/summary?id=gbm_cptac_2021,cBioportal,CPTAC,bulkDNA,sample,WES/WGS,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioblastoma,99,NA,NA,NA,Open Access
glioma_mskcc_2019,"Glioma (MSK, Clin Cancer Res 2019)",https://www.cbioportal.org/study/summary?id=glioma_mskcc_2019,cBioportal,MSK,bulkDNA,sample,NA,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,1004,NA,NA,NA,Open Access
glioma_msk_2018,"Glioma (MSK, Nature 2019)",https://www.cbioportal.org/study/summary?id=glioma_msk_2018,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,91,NA,NA,NA,Open Access
ohnca_cptac_gdc,"Head and Neck Carcinoma, Other (CPTAC, GDC)",https://www.cbioportal.org/study/summary?id=ohnca_cptac_gdc,cBioportal,CPTAC,bulkDNA,sample,NA,NA,ASCAT-GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg38,Other,"Head and Neck Carcinoma, Other",150,NA,NA,NA,Open Access
hcc_mskimpact_2018,"Hepatocellular Carcinoma (MSK, Clin Cancer Res 2018)",https://www.cbioportal.org/study/summary?id=hcc_mskimpact_2018,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,HCC,Hepatocellular Carcinoma,127,NA,NA,NA,Open Access
hcc_msk_2024,"Hepatocellular Carcinoma (MSK, Clin Cancer Res 2024)",https://www.cbioportal.org/study/summary?id=hcc_msk_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,HCC,Hepatocellular Carcinoma,1370,NA,NA,NA,Open Access
hcc_jcopo_msk_2023,"Hepatocellular Carcinoma (MSK, JCO Precis Oncol 2023)",https://www.cbioportal.org/study/summary?id=hcc_jcopo_msk_2023,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,HCC,Hepatocellular Carcinoma,90,NA,NA,NA,Open Access
hgsoc_msk_2021,"High-Grade Serous Ovarian Cancer (MSK, NPJ Genome Med 2021)",https://www.cbioportal.org/study/summary?id=hgsoc_msk_2021,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,OV,High-Grade Serous Ovarian Cancer,45,NA,NA,NA,Open Access
histiocytosis_cobi_msk_2019,"Histiocytosis Cobimetinib (MSK, Nature 2019)",https://www.cbioportal.org/study/summary?id=histiocytosis_cobi_msk_2019,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,HDCN,Histiocytosis Cobimetinib,52,NA,NA,NA,Open Access
difg_msk_2023,"IDH-mutated Diffuse Glioma (MSK, Clin Cancer Res 2024)",https://www.cbioportal.org/study/summary?id=difg_msk_2023,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,IDH-mutated Diffuse Glioma,73,NA,NA,NA,Open Access
ihch_mskcc_2020,"Intrahepatic Cholangiocarcinoma (MSK, Clin Cancer Res 2021)",https://www.cbioportal.org/study/summary?id=ihch_mskcc_2020,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,CHOL,Intrahepatic Cholangiocarcinoma,219,NA,NA,NA,Open Access
ihch_msk_2021,"Intrahepatic Cholangiocarcinoma (MSK, Hepatology 2021)",https://www.cbioportal.org/study/summary?id=ihch_msk_2021,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,CHOL,Intrahepatic Cholangiocarcinoma,412,NA,NA,NA,Open Access
hcc_msk_venturaa_2018,"Liver Hepatocellular Adenoma and Carcinomas (MSK, PLOS One 2018)",https://www.cbioportal.org/study/summary?id=hcc_msk_venturaa_2018,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT341,Gene Log,log2 ratio,gene-level matrices,hg19,HCC,Liver Hepatocellular Adenoma and Carcinomas,19,NA,NA,NA,Open Access
lihc_amc_prv,"Liver Hepatocellular Carcinoma (AMC, Hepatology 2014)",https://www.cbioportal.org/study/summary?id=lihc_amc_prv,cBioportal,AMC,bulkDNA,sample,WES,NA,SNP-FASST2,Gene Log,log2 ratio,gene-level matrices,NA,HCC,Liver Hepatocellular Carcinoma,231,NA,NA,NA,Open Access
luad_broad,"Lung Adenocarcinoma (Broad, Cell 2012)",https://www.cbioportal.org/study/summary?id=luad_broad,cBioportal,Broad,bulkDNA,sample,WES/WGS,NA,Broad_Firehose,Gene Log,log2 ratio,gene-level matrices,NA,LUAD,Lung Adenocarcinoma,183,NA,NA,NA,Open Access
luad_cptac_2020,"Lung Adenocarcinoma (CPTAC, Cell 2020)",https://www.cbioportal.org/study/summary?id=luad_cptac_2020,cBioportal,CPTAC,bulkDNA,sample,WES/WGS,NA,CNVEX,Gene Log,log2 ratio,gene-level matrices,hg19,LUAD,Lung Adenocarcinoma,110,NA,NA,NA,Open Access
luad_cptac_gdc,"Lung Adenocarcinoma (CPTAC, GDC)",https://www.cbioportal.org/study/summary?id=luad_cptac_gdc,cBioportal,CPTAC,bulkDNA,sample,NA,NA,ASCAT-GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg38,LUAD,Lung Adenocarcinoma,180,NA,NA,NA,Open Access
lung_msk_mind_2020,"Lung Adenocarcinoma (MSK Mind,Nature Cancer 2022)",https://www.cbioportal.org/study/summary?id=lung_msk_mind_2020,cBioportal,MSK Mind,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,LUAD,Lung Adenocarcinoma,247,NA,NA,NA,Open Access
luad_mskimpact_2021,"Lung Adenocarcinoma (MSK, 2021)",https://www.cbioportal.org/study/summary?id=luad_mskimpact_2021,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,LUAD,Lung Adenocarcinoma,186,NA,NA,NA,Open Access
luad_mskcc_2020,"Lung Adenocarcinoma (MSK, J Thorac Oncol 2020)",https://www.cbioportal.org/study/summary?id=luad_mskcc_2020,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,LUAD,Lung Adenocarcinoma,604,NA,NA,NA,Open Access
luad_msk_npjpo_2021,"Lung Adenocarcinoma (MSK, NPJ Precision Oncology 2021)",https://www.cbioportal.org/study/summary?id=luad_msk_npjpo_2021,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,LUAD,Lung Adenocarcinoma,426,NA,NA,NA,Open Access
luad_oncosg_2020,"Lung Adenocarcinoma (OncoSG, Nat Genet 2020)",https://www.cbioportal.org/study/summary?id=luad_oncosg_2020,cBioportal,OncoSG,bulkDNA,sample,WES,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,LUAD,Lung Adenocarcinoma,305,NA,NA,NA,Open Access
luad_mskcc_2023_met_organotropism,"Lung Adenocarcinoma Met Organotropism (MSK, Cancer Cell 2023)",https://www.cbioportal.org/study/summary?id=luad_mskcc_2023_met_organotropism,cBioportal,MSK,bulkDNA,sample,NA,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,LUAD,Lung Adenocarcinoma Met Organotropism,2653,NA,NA,NA,Open Access
lusc_cptac_gdc,"Lung Squamous Cell Carcinoma (CPTAC, GDC)",https://www.cbioportal.org/study/summary?id=lusc_cptac_gdc,cBioportal,CPTAC,bulkDNA,sample,NA,NA,ASCAT-GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg38,LUSC,Lung Squamous Cell Carcinoma,90,NA,NA,NA,Open Access
lymphoma_cellline_msk_2020,"Lymphoma Cell Lines (MSK, Blood 2020)",https://www.cbioportal.org/study/summary?id=lymphoma_cellline_msk_2020,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Lymphoma,Lymphoma Cell Lines,34,NA,NA,NA,Open Access
mpnst_mskcc,"Malignant Peripheral Nerve Sheath Tumor (MSK, Nat Genet 2014)",https://www.cbioportal.org/study/summary?id=mpnst_mskcc,cBioportal,MSK,bulkDNA,sample,WES,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,Other,Malignant Peripheral Nerve Sheath Tumor,15,NA,NA,NA,Open Access
brca_mapk_hp_msk_2021,"MAPK on resistance to anti-HER2 therapy for breast cancer (MSK, Nat Commun. 2022)",https://www.cbioportal.org/study/summary?id=brca_mapk_hp_msk_2021,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,BRCA,MAPK on resistance to anti-HER2 therapy for breast cancer,145,NA,NA,NA,Open Access
mtnn_msk_2022,"Mature T and NK Neoplasms (MSK, Blood Adv 2023)",https://www.cbioportal.org/study/summary?id=mtnn_msk_2022,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,MTNN,Mature T and NK Neoplasms,132,NA,NA,NA,Open Access
mel_mskimpact_2020,"Melanoma (MSK, Clin Cancer Res 2021)",https://www.cbioportal.org/study/summary?id=mel_mskimpact_2020,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,MEL,Melanoma,696,NA,NA,NA,Open Access
skcm_mskcc_2014,"Melanoma (MSK, NEJM 2014)",https://www.cbioportal.org/study/summary?id=skcm_mskcc_2014,cBioportal,MSK,bulkDNA,sample,NA,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,MEL,Melanoma,64,NA,NA,NA,Open Access
mng_utoronto_2021,"Meningioma (University of Toronto, Nature 2021)",https://www.cbioportal.org/study/summary?id=mng_utoronto_2021,cBioportal,UToronto,bulkDNA,sample,WES,NA,Sequenza-CNVkit,Gene Log,log2 ratio,gene-level matrices,hg19,Brain Cancer,Meningioma,121,NA,NA,NA,Open Access
biliary_tract_summit_2022,"Metastatic Biliary Tract Cancers (SUMMIT - Neratinib Basket Trial, 2022)",https://www.cbioportal.org/study/summary?id=biliary_tract_summit_2022,cBioportal,SUMMIT,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,CHOL,Metastatic Biliary Tract Cancers,36,NA,NA,NA,Open Access
brca_igr_2015,"Metastatic Breast Cancer (INSERM, PLoS Med 2016)",https://www.cbioportal.org/study/summary?id=brca_igr_2015,cBioportal,INSERM,bulkDNA,sample,WES,NA,ExomeCNV-GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,BRCA,Metastatic Breast Cancer,216,NA,NA,NA,Open Access
breast_ink4_msk_2021,"Metastatic Breast Cancer (MSK, Cancer Discovery 2022)",https://www.cbioportal.org/study/summary?id=breast_ink4_msk_2021,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,BRCA,Metastatic Breast Cancer,1365,NA,NA,NA,Open Access
prad_mcspc_mskcc_2020,"Metastatic castration-sensitive prostate cancer (MSK, Clin Cancer Res 2020)",https://www.cbioportal.org/study/summary?id=prad_mcspc_mskcc_2020,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Prostate Cancer,Metastatic castration-sensitive prostate cancer,424,NA,NA,NA,Open Access
crc_msk_2017,"Metastatic Colorectal Cancer (MSK, Cancer Cell 2018)",https://www.cbioportal.org/study/summary?id=crc_msk_2017,cBioportal,MSK,bulkDNA,sample,NA,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,CRC,Metastatic Colorectal Cancer,1134,NA,NA,NA,Open Access
egc_msk_2017,"Metastatic Esophagogastric Cancer (MSK, Cancer Discovery 2017)",https://www.cbioportal.org/study/summary?id=egc_msk_2017,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,EGC,Metastatic Esophagogastric Cancer,341,NA,NA,NA,Open Access
